state_code,locality_code,locality_kind,effective_from,effective_to,regular_min_wage,tipped_min_cash_wage,max_tip_credit,weekly_ot_hours,daily_ot_hours,daily_dt_hours,min_wage_citation,min_wage_url,tipped_citation,tipped_url,state_statute_citation,state_statute_url
NY,NYC,CITY,2025-01-01,,16.50,13.75,2.75,40.0,,,"NY DOL Minimum Wage (NYC 2025)","https://dol.ny.gov/minimum-wage-0","NY DOL Minimum Wage for Tipped Workers (NYC 2025)","https://dol.ny.gov/minimum-wage-tipped-workers","",""
WA,SEA,CITY,2025-01-01,,20.76,20.76,0.00,40.0,,,"Seattle OLS Minimum Wage Ordinance (2025)","https://seattle.gov/laborstandards/ordinances/minimum-wage","","","",""
OR,PORTLAND_METRO,METRO,2025-07-01,,16.30,16.30,0.00,40.0,,,"Oregon BOLI Portland Metro Minimum Wage (July 1 2025)","https://www.oregon.gov/boli","","","",""
CA,LA_CITY,CITY,2025-07-01,,17.87,17.87,0.00,40.0,8.0,12.0,"Los Angeles City Minimum Wage (July 1 2025)","https://wagesla.lacity.gov/","","","",""
CA,SF,CITY,2025-07-01,,19.18,19.18,0.00,40.0,8.0,12.0,"San Francisco Minimum Wage (July 1 2025)","https://www.dwt.com/blogs/employment-labor-and-benefits/2025/06/california-wage-increases-july-1-2025","","","",""
IL,CHI,CITY,2025-07-01,,16.60,12.62,3.98,40.0,,,"Illinois Restaurant Association – Chicago Minimum Wage (July 1 2025)","https://www.illinoisrestaurants.org/page/NewLaws2025","","","",""
