# frequency,filingStatus,variant,minCents,maxCents,taxCents
# Auto-generated from IRS Pub. 15-T 2025 wage-bracket biweekly table.
frequency,filingStatus,variant,minCents,maxCents,taxCents
BIWEEKLY,MARRIED,STEP2_CHECKBOX,42000,43000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,42000,43000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,42000,43000,0
BIWEEKLY,SINGLE,STANDARD,42000,43000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,42000,43000,1400
BIWEEKLY,MARRIED,STANDARD,43000,44000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,43000,44000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,43000,44000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,43000,44000,0
BIWEEKLY,SINGLE,STANDARD,43000,44000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,43000,44000,1500
BIWEEKLY,MARRIED,STANDARD,44000,45000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,44000,45000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,44000,45000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,44000,45000,100
BIWEEKLY,SINGLE,STANDARD,44000,45000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,44000,45000,1600
BIWEEKLY,MARRIED,STANDARD,45000,46000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,45000,46000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,45000,46000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,45000,46000,200
BIWEEKLY,SINGLE,STANDARD,45000,46000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,45000,46000,1700
BIWEEKLY,MARRIED,STANDARD,46000,47000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,46000,47000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,46000,47000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,46000,47000,300
BIWEEKLY,SINGLE,STANDARD,46000,47000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,46000,47000,1800
BIWEEKLY,MARRIED,STANDARD,47000,48000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,47000,48000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,47000,48000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,47000,48000,400
BIWEEKLY,SINGLE,STANDARD,47000,48000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,47000,48000,1900
BIWEEKLY,MARRIED,STANDARD,48000,49000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,48000,49000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,48000,49000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,48000,49000,500
BIWEEKLY,SINGLE,STANDARD,48000,49000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,48000,49000,2000
BIWEEKLY,MARRIED,STANDARD,49000,50000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,49000,50000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,49000,50000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,49000,50000,600
BIWEEKLY,SINGLE,STANDARD,49000,50000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,49000,50000,2100
BIWEEKLY,MARRIED,STANDARD,50000,51000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,50000,51000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,50000,51000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,50000,51000,700
BIWEEKLY,SINGLE,STANDARD,50000,51000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,50000,51000,2200
BIWEEKLY,MARRIED,STANDARD,51000,52000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,51000,52000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,51000,52000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,51000,52000,800
BIWEEKLY,SINGLE,STANDARD,51000,52000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,51000,52000,2300
BIWEEKLY,MARRIED,STANDARD,52000,53500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,52000,53500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,52000,53500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,52000,53500,900
BIWEEKLY,SINGLE,STANDARD,52000,53500,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,52000,53500,2400
BIWEEKLY,MARRIED,STANDARD,53500,55000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,53500,55000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,53500,55000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,53500,55000,1100
BIWEEKLY,SINGLE,STANDARD,53500,55000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,53500,55000,2600
BIWEEKLY,MARRIED,STANDARD,55000,56500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,55000,56500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,55000,56500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,55000,56500,1200
BIWEEKLY,SINGLE,STANDARD,55000,56500,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,55000,56500,2800
BIWEEKLY,MARRIED,STANDARD,56500,58000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,56500,58000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,56500,58000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,56500,58000,1400
BIWEEKLY,SINGLE,STANDARD,56500,58000,0
BIWEEKLY,SINGLE,STEP2_CHECKBOX,56500,58000,2900
BIWEEKLY,MARRIED,STANDARD,58000,59500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,58000,59500,100
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,58000,59500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,58000,59500,1500
BIWEEKLY,SINGLE,STANDARD,58000,59500,100
BIWEEKLY,SINGLE,STEP2_CHECKBOX,58000,59500,3100
BIWEEKLY,MARRIED,STANDARD,59500,61000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,59500,61000,300
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,59500,61000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,59500,61000,1700
BIWEEKLY,SINGLE,STANDARD,59500,61000,300
BIWEEKLY,SINGLE,STEP2_CHECKBOX,59500,61000,3300
BIWEEKLY,MARRIED,STANDARD,61000,62500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,61000,62500,400
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,61000,62500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,61000,62500,1800
BIWEEKLY,SINGLE,STANDARD,61000,62500,400
BIWEEKLY,SINGLE,STEP2_CHECKBOX,61000,62500,3500
BIWEEKLY,MARRIED,STANDARD,62500,64000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,62500,64000,600
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,62500,64000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,62500,64000,2000
BIWEEKLY,SINGLE,STANDARD,62500,64000,600
BIWEEKLY,SINGLE,STEP2_CHECKBOX,62500,64000,3700
BIWEEKLY,MARRIED,STANDARD,64000,65500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,64000,65500,700
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,64000,65500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,64000,65500,2100
BIWEEKLY,SINGLE,STANDARD,64000,65500,700
BIWEEKLY,SINGLE,STEP2_CHECKBOX,64000,65500,3800
BIWEEKLY,MARRIED,STANDARD,65500,67000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,65500,67000,900
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,65500,67000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,65500,67000,2300
BIWEEKLY,SINGLE,STANDARD,65500,67000,900
BIWEEKLY,SINGLE,STEP2_CHECKBOX,65500,67000,4000
BIWEEKLY,MARRIED,STANDARD,67000,68500,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,67000,68500,1000
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,67000,68500,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,67000,68500,2400
BIWEEKLY,SINGLE,STANDARD,67000,68500,1000
BIWEEKLY,SINGLE,STEP2_CHECKBOX,67000,68500,4200
BIWEEKLY,MARRIED,STANDARD,68500,70000,0
BIWEEKLY,MARRIED,STEP2_CHECKBOX,68500,70000,1200
BIWEEKLY,HEAD_OF_HOUSEHOLD,STANDARD,68500,70000,0
BIWEEKLY,HEAD_OF_HOUSEHOLD,STEP2_CHECKBOX,68500,70000,2600
